datetime,hr,rri
2019-04-02 20:06:07.064,100, 704
2019-04-02 20:06:08.051,97, 712
2019-04-02 20:06:09.047,93, 731
2019-04-02 20:06:10.032,91, 732
2019-04-02 20:06:11.020,89, 697
2019-04-02 20:06:12.013,89, 620
2019-04-02 20:06:13.005,91, 574
2019-04-02 20:06:14.003,95, 569
2019-04-02 20:06:14.981,98, 595
2019-04-02 20:06:15.971,98, 625
2019-04-02 20:06:16.960,97, 660
2019-04-02 20:06:17.967,96, 665
2019-04-02 20:06:18.965,94, 655
2019-04-02 20:06:19.935,94, 649
2019-04-02 20:06:20.923,93, 651
2019-04-02 20:06:21.912,93, 638
2019-04-02 20:06:22.902,94, 624
2019-04-02 20:06:23.892,94, 674
2019-04-02 20:06:24.882,93, 685
2019-04-02 20:06:25.870,92, 707
2019-04-02 20:06:26.874,90, 686
2019-04-02 20:06:27.849,90, 649
2019-04-02 20:06:28.839,91, 638
2019-04-02 20:06:29.831,93, 587
2019-04-02 20:06:30.821,94, 575
2019-04-02 20:06:31.812,98, 580
2019-04-02 20:06:32.804,98, 619
2019-04-02 20:06:33.789,98, 656
2019-04-02 20:06:34.782,96, 741
2019-04-02 20:06:35.770,92, 709
2019-04-02 20:06:36.771,91, 653
2019-04-02 20:06:37.749,91, 636
2019-04-02 20:06:39.234,93, 622
2019-04-02 20:06:40.224,93, 666
2019-04-02 20:06:41.214,93, 668
2019-04-02 20:06:42.208,92, 673
2019-04-02 20:06:43.202,91, 687
2019-04-02 20:06:44.185,90, 690
2019-04-02 20:06:45.178,90, 626
2019-04-02 20:06:46.164,91, 625
2019-04-02 20:06:47.155,93, 644
2019-04-02 20:06:48.144,93, 646
2019-04-02 20:06:49.136,93, 666
2019-04-02 20:06:50.124,92, 716
2019-04-02 20:06:51.121,90, 734
2019-04-02 20:06:52.103,88, 707
2019-04-02 20:06:53.094,88, 672
2019-04-02 20:06:54.083,88, 659
2019-04-02 20:06:55.074,89, 647
2019-04-02 20:06:56.064,90, 661
2019-04-02 20:06:57.054,90, 694
2019-04-02 20:06:58.046,89, 712
2019-04-02 20:06:59.038,88, 768
2019-04-02 20:07:00.024,86, 736
2019-04-02 20:07:01.020,85, 725
2019-04-02 20:07:02.018,84, 753
2019-04-02 20:07:02.993,84, 724
2019-04-02 20:07:03.986,84, 690
2019-04-02 20:07:04.976,84, 688
2019-04-02 20:07:05.963,85, 708
2019-04-02 20:07:06.958,85, 685
2019-04-02 20:07:07.954,85, 670
2019-04-02 20:07:08.934,86, 679
2019-04-02 20:07:09.925,86, 677
2019-04-02 20:07:10.915,87, 668
2019-04-02 20:07:11.913,87, 683
2019-04-02 20:07:12.895,87, 720
2019-04-02 20:07:13.886,86, 742
2019-04-02 20:07:14.874,85, 726
2019-04-02 20:07:15.862,85, 683
2019-04-02 20:07:16.863,86, 627
2019-04-02 20:07:17.844,93, 570
2019-04-02 20:07:18.833,97, 554
2019-04-02 20:07:19.823,101, 551
